"id","text","rating","afinn","lsd","vader"
1,"nyt: winner",-1,1,1,0.586
2,"@ goldietaylor: huckabee.",-1,0.111,0,0
3,"@ gretchencarlson: "" take bottle white pres obamas policy "" @ governorperry # @ foxnews @ foxnewspolitics",-1,0.111,0,0
4,"wait hillary clinton put",-1,0.111,-1,0
5,"pledge run third party, pledge vote third party nominee.: / / / 3tep5zszun #",-1,0.111,1,0.66
6,"god bless country, publican candidate.... democrat. - rubio # paraphrase #...: / / / pgijypjzdf",-1,0.444,1,0.599
7,"@ laurenreeves: "" stay tun close statement, final thought, god. "" turn tv, good. #",-1,0.556,1,0.612
8,"accurate description system? https: / / / e68hblfc2g. # illustrate wonderful, scary fashion",-1,0.333,0.333,0.128
9,""" epa! "" #",-1,0.111,0,0
10,"kept wonder donald left pinky re gold chain, use car salesman gesture / talk. #",-1,0.111,1,0
11,"cruz: "" receive word god everyday... "" god: "" blame guy. pill voice. "" #",-1,0.111,-1,0.202
12,"@ jarodzsz: real appoint one threw prosthetic leg last night",-1,0.111,0,0
13,"one perved scott walker wink beginning",-1,0.111,0,0
14,"restorereality: fuck ya donald rock",-1,-0.778,0,-0.542
15,"@ thebaxterbean: taking long t cruz renounce canadian citizenship?: / / / 6d6xvafpf1",-1,0.111,-1,0
16,"@ postgraphics @ facttank rate speech can indicate confidence. fast, swindle; slow, prepared #: / / / fs7r705es9",-1,0.111,1,0.202
17,"@ msgoddessrises: doubt! huge bump!",-1,0.111,-1,-0.198
18,"god love even say! oops.. forgive!",-1,0.482,1,0.84
19,"answer important question # ye, joe flacco, fact, elite quarterback. # ravensnation",-1,0.556,0,0.202
20,"@ shawndrurysc: jeb: father... oh nevermind. parent overrate.",-1,0.111,0,0
21,"hadiyah: rand paul rock wet wavy. ooh kill'em!",-1,0.111,-1,0
22,""" alinsky model, takingadvantage useful idiot "" # # bencarson",-1,0,0,-0.103
23,"@ jamiaw: "" purpose military kill people break the "" - mike huckabee # # kkkorgop",-1,-0.556,-1,-0.691
24,"@ popehat:",-1,0.111,0,0
25,"cancelled",-1,-0.111,0,-0.25
26,"@ cavaticat: watch",-1,0.111,0,0
27,"@ ncsr18: muppet show.",-1,0.111,0,0
28,"@ rwsurfergirl: tonight learn @ govchristie think can move civil right fight terrorism.",-1,-0.111,0.2,-0.802
29,"chris christie rand paul feud tense national security face -",-1,-0.333,-1,-0.34
30,"@ pattonoswalt: go ask lenny kravitz's penis one question? respectful.",-1,0.111,1,0.459
31,"good eye. @ randikayecnn spotting @ 360vodka patriot btl",-1,0.778,0.333,0.44
32,"@ _ hankrearden: john sinunu, wrote book jeb's dad, like. fuck shock. #",-1,-0.185,-0.333,-0.557
33,"step help understand # kkkorgop: 1 ) fine rhetoric, 2 ) consume # rhetoric, 3 ) spot similarity. https: / / / lkuhw2nrxs",-1,0.556,1,0.542
34,"@ mette _ mariek: dog look like panda.",-1,0.556,1,0.361
35,"@ leasavoy: overall view #... "" stay home work? "" candidate choice change 1 iota. # cruzcrew",-1,0.111,0,0
36,"@ bipartisanism: sound like",-1,0.556,1,0.361
37,"mind: family important publican 2016 candidate, just gay family.: / / / cs0usassqs #: / / / fmafdubmfb",-1,0.556,0,0.202
