"id","text","rating","afinn","lsd","vader"
1,"nyt: winner at the",-1,0.8,1,0.586
2,"@ goldietaylor: huckabee.",-1,0,0,0
3,"@ gretchencarlson: "" take a bottle of white out with me to pres obamas policy "" @ governorperry # gopdebate @ foxnews @ foxnewspolitics",-1,0,0,0
4,"i can't wait for hillary clinton to put the",-1,0,-1,0
5,"trump didn't pledge to not run third party, but i'll pledge to vote third party if he the nominee. http: / / t. co / 3tep5zszun # gopdebate",-1,0,1,0.444
6,"god bless our country, the publican candidate.... but not them democrat. - rubio # paraphrase # gopdebates you... http: / / t. co / pgijypjzdf",-1,0.3,1,0.351
7,"@ laurenreeves: "" stay tun for close statement, final thought, and god. "" and then i turn off the tv, i'm good. # gopdebates",-1,0.4,0,0.612
8,"how this for an accurate description of our system? https: / / t. co / e68hblfc2g. the # gopdebate illustrate this in a wonderful, scary fashion",-1,0.2,0.333,0.128
9,"other than "" down with the epa! "" # gopdebate",-1,0,0,0
10,"kept wonder where the donald left hi pinky re and gold chain were, what with hi use car salesman gesture / talk. # gopdebate",-1,0,1,0
11,"cruz: "" i receive the word of god everyday... "" god: "" don't blame me for this guy. there are pill for those voice. "" # gopdebates",-1,0,-1,0.641
12,"@ jarodzsz: i'm real appoint that no one threw their prosthetic leg last night at the",-1,-0.2,0,-0.296
13,"am i the on one perved out by scott walker wink at the beginning of the",-1,0,0,0
14,"restorereality: fuck ya donald trump you rock",-1,-0.8,0,-0.542
15,"@ thebaxterbean: why i it taking so long for t cruz to renounce hi canadian citizenship? http: / / t. co / 6d6xvafpf1",-1,0,-1,0
16,"@ postgraphics @ facttank rate of speech can indicate confidence. too fast, a swindle; too slow, prepared # gopdebate http: / / t. co / fs7r705es9",-1,0,-0.333,0.202
17,"@ msgoddessrises: no doubt! huge bump!",-1,-0.067,-1,0.186
18,"god love me even if i don't do a he say! oops.. he forgive me not you!",-1,0.333,1,0.84
19,"the answer to the most important question of the # gopdebate i ye, joe flacco i, in fact, an elite quarterback. # ravensnation",-1,0.4,0,0.272
20,"@ shawndrurysc: jeb: my father was... oh nevermind. parent i so overrate.",-1,0,0,0
21,"hadiyah: rand paul rock that wet and wavy. ooh kill'em!",-1,0,-1,0
22,"what i "" the alinsky model, takingadvantage of useful idiot "" # gopdebates # bencarson",-1,-0.1,0,-0.103
23,"@ jamiaw: "" the purpose of the military i to kill people and break the "" - mike huckabee # gopdebates # kkkorgop",-1,-0.6,-1,-0.691
24,"@ popehat:",-1,0,0,0
25,"cancelled",-1,-0.2,0,-0.25
26,"@ cavaticat: i didn't watch the",-1,0,0,0
27,"@ ncsr18: muppet show.",-1,0,0,0
28,"@ rwsurfergirl: tonight we learn that @ govchristie think he can move our civil right to fight terrorism.",-1,-0.2,0.2,-0.802
29,"chris christie and rand paul feud in tense national security face - off at",-1,-0.4,-1,-0.34
30,"@ pattonoswalt: are they go to ask lenny kravitz's penis one question? this i very respectful.",-1,0,1,0.509
31,"good eye. @ randikayecnn on spotting @ 360vodka patriot btl on",-1,0.6,0.333,0.44
32,"@ _ hankrearden: john sinunu, who wrote a book about jeb's dad, doesn't like trump. what a fuck shock. # gopdebate",-1,-0.267,-0.333,-0.803
33,"step to help you understand # kkkorgop: 1 ) fine rhetoric, 2 ) consume # gopdebate rhetoric, 3 ) spot similarity. https: / / t. co / lkuhw2nrxs",-1,0.4,1,0.542
34,"@ mette _ mariek: here a dog that look like a panda.",-1,0.4,1,0.361
35,"@ leasavoy: overall view on # gopdebates... "" i stay home from work for this? "" my candidate choice ha not change 1 iota. # cruzcrew",-1,0.4,0,0.34
36,"@ bipartisanism: sound like the",-1,0.4,1,0.361
37,"mind: family i important to publican 2016 candidate, just not gay family. http: / / t. co / cs0usassqs # gopdebate http: / / t. co / fmafdubmfb",-1,0.4,0,0.202
38,"rubio - back insurance market "" cover 80 people "" - obamacare cover 1. 6m in fl alone http: / / t. co / whgcid8ee7 # gopdebate http: / / t. co / y1awqcpfnw",-1,-0.4,0,-0.25
39,"@ avabeata you're gonna get a kick out of last night! lemme know what you think...",-1,0,-1,0
40,"the close caption for the",-1,0,0,0
41,"@ alilihay: i would also prefer that my uterus isn't register with washington",-1,0,0,0
