"id","text","rating","afinn","lsd","vader"
1,"personnel reduction carry anjalankoski, hollola, jyvaskyla, jarvenpaa, karhula, turku valkeakoski it.",-1,0,0,0
2,"suominen corporate make wet wipe, nonwovens, flexible package start employer - employee negotiations tampere plant finland lay 25 employee.",-1,0,0,0.226
3,"airline estimate cancellation flight due closure european airspace, process commence traffic, cause loss eur20m, include cost strand passenger ' accommodate.",-1,-0.6,0,-0.318
4,"several large stock tack low, however.",-1,0,0,-0.273
5,"compare ftse 100 index, rose 36.7 point ( 0.6 % ) day, relate price change -0.2 %.",-1,0,0,0
6,"`` ' s issue thieve steal build site, ' ' said mr smith.",-1,-0.4,-1,-0.751
7,"venue quarter fell 8 percent ( euro ) 2.4 billion compare year early.",-1,0,0,0
8,"loss totalled 0.9, 2.7.",-1,-0.6,-1,-0.318
9,"capacity cut 1.4 %, passenger load factor 7.8 percentage point.",-1,-0.2,0,-0.273
10,"confirm estimate low venue whole year - ago 93.9 usd 137.3 m given interim port august 5.",-1,0,1,-0.273
11,"`` considerably weak u. s. dollar british pound impact average price euro, '' upm said.",-1,-0.4,-1,-0.493
12,"accord, addition normal seasonal fluctuate market situate weaken autumn 2008.",-1,0,0.333,-0.421
13,"q1, 's loss totalled 0.3, compare 3.6 q1 2008.",-1,-0.6,-1,-0.318
14,"strike, finnair estimate incur loss eur2m eur2 .5 m p day.",-1,-0.4,-1,-0.421
15,"case, effect negate finland.",-1,0,-1,0
16,"23 april 2010 - construction engineer outotec oyj hel: ote1v said today slipped loss eur7 .3 m first quarter 2010 eur12 .5 m correspond last year.",-1,-0.6,-1,-0.318
17,"non - recurring item 8.3 first nine months 2008, compare 8.4 correspond 2007.",-1,0,0,0
18,"( adpnews ) - feb 3, 2010 - finland - base steel maker rautaruukki oyj ( hel: rtrks ), ruukki, said today slipped large - - expect pretax loss 46 ( usd 64.5 m ) four quarter",-1,-0.6,-1,-0.318
19,"initial, said maximum 15 people made redundant parent 15 subsidiary.",-1,0,-1,0
20,"off, deem low finnlines ' board, stand 4 pm tomorrow.",-1,0,0,-0.273
21,"due rapid crease, personnel reduction carry wide scale initial expect.",-1,0,0,0
22,"`` implementation program,, negate impact 2006 2007 earn, '' mr meiklejohn said.",-1,0,-1,0
23,"textile clothe group marimekko oyj post 7.99 mln euro $ 10.4 mln 2006, compare 8.4 mln euro $ 10.9 mln 2005.",-1,0,0,0
24,"busy software group affectogenimap oyj said halve 1.2 mln euro ( $ 1.5 mln ) first nine months 2006 2.2 mln euro ( $ 2.8 mln ) 2005.",-1,0,0,0
25,"earn p share ( eps ) amount loss eur0 .38.",-1,-0.2,-1,-0.026
26,"finland 's hobby hall 's crease 10 %, international fell 19 %.",-1,0,0,0
27,"exclude non - recurring item total 5.4 compare 5.5 correspond 2007.",-1,-0.2,-1,-0.226
28,"- group 's 37.5 ( 48.2, 1 - 9 / 2008 ) result tax loss -3.5 ( +1.2 ).",-1,-0.6,-1,-0.318
29,"sale result capital loss eur5m solidium, obtain tikkurila share march 2010.",-1,-0.2,0,-0.026
30,"plan close two three line plant, 450 job threat.",-1,-0.4,-1,-0.527
31,"eat weak u dollar.",-1,-0.4,-1,-0.44
32,"salcomp oyj, maker mobile phone charger, monday post eur1 .49 loss second quarter compare 1.70 previous year.",-1,-0.6,-1,-0.318
33,"last year 's third quarter result burden cost stemming structure u.",-1,-0.4,-1,-0.44
34,"fair value 's invest property went 2.768 billion end 2.916 billion year early.",-1,0.4,1,0.572
35,"suominen flexible package ltd, own local textile suominen corporate group ( hel: suy1v ), said today start employee negotiations concerning entire personnel finland.",-1,0,1,0.226
36,"cut equivalent cost 35 - 45 employee target, said.",-1,-0.2,0,-0.273
37,"nokia certain agree qualcomm 's view patent situate.",-1,0.2,1,0.557
38,"build home improve trade, crease 6.3 %, totalling 154.1.",-1,0.4,1,0.44
39,"group 's loss 0.8, 2.5 2004.",-1,-0.6,-1,-0.318
40,"tiimari busy went 8 % 11.8, gallerix store saw 29 % grow 2.",-1,0,0,0
41,"exel composite, technology design, manufacture, market composite file tube various industrial apply, port crease 0.6 % second quarter 2010 19.2 19.3 correspond.",-1,0,0,0
42,"personnel reduction primarily affect work parent diagnostic busy production logistic liquid handle busy.",-1,0,0,0
43,"scanfil, tract manufacture system supply communicate industrial electronic port 108.7 first half 2008, 111.1 year early.",-1,0,0,0
44,"steelmaker said drop explain continue economic certainty, mix current drought bank lend, result decline demand duct custom find increasing difficult fund operate.",-1,-0.2,-1,-0.477
45,"orion 's third quarter 2007 crease 36.5 mln euro ( $ 52.1 mln ) 40.3 mln euro ( $ 57.5 mln ) year early.",-1,0,0,0
46,"fair value 's invest property went eur2 .769 bn end september eur2 .878 bn year early.",-1,0.4,1,0.572
47,"build home improve trade, totalled 1,173, 1,566 year early.",-1,0.4,1,0.44
48,"1.33 pm, omx helsinki 25 0.30 pct low 2,463.67 omx helsinki 0.37 pct 8,537.42 volume 256 mln.",-1,0,0,-0.273
49,"however, grow margin slow due financial crisis.",-1,-0.6,-1,-0.625
50,"expect whole remain 2008 level.",-1,0,0,0
51,"result negotiations decide make 45 people redundant financial production ground.",-1,0,-1,0
52,"due market condition, also temporarily lay 3,200 people different site.",-1,0,0,0
53,"electronic tract manufacture scanfil 52.2 first quarter 2007, 60.1 year.",-1,0,0,0
54,"m - real 's kyro mill start negotiations cut staff.",-1,-0.2,0,-0.273
55,"finnair 's total traffic crease 8.7 % term venue passenger kilometres.",-1,0,0,0
56,"baltic country, fell 42.6 %.",-1,0,0,0
57,"accord, staff laid temporarily necessary.",-1,0,1,0
58,"q1, 's result tax continue operate, exclude non - recurring item, totalled -0.4, compare -0.1 correspond 2008.",-1,-0.2,-1,-0.226
59,"seawind en route port turku stockholm got stuck ice already around 4 p. m. wednesday regal star 's journey swedish port kapellskar paldiski northwestern estonia cut short 2. m. thursday.",-1,-0.3,0,-0.477
60,"`` common weak snow condition near every market affect first quarter result, '' chief execute roger talermo said.",-1,-0.4,-1,-0.44
61,"compare total 4.7, 5.1 correspond 2005, represent 7.4 %.",-1,0,0,0
62,"ferry run trouble just outside stockholm archipelago, made 20,000 island.",-1,-0.4,-1,-0.402
63,"share royal sun alliance continue slide back 12 - month high 172p last month, potential suitor rule takeover bid.",-1,0.2,1,0.296
64,"loss total 25mn compare 63mn correspond 2005.",-1,-0.6,-1,-0.318
65,"paper company negate territory, stora enso r shedding 1.62 pct 12.73, upm - kymmene 0.80 pct 18.64 m - real b 0.18 pct low 5.57.",-1,0,-1,-0.273
66,"baltimore police fire pension, $ 1.5 billion, lost $ 3.5 madoff ponzi scheme.",-1,-0.5,-1,-0.572
67,"`` cut frequency new york last year, explain fall, '' said.",-1,-0.2,0,-0.273
68,"12 - month crease eur157 .5 m, crease eur634 .3 m, compare 2007.",-1,0,0,0
69,"omx helsinki index 0.34 pct 8,256.02 turnover 813.191 mln.",-1,0,0,0
