"id","rating","text","afinn","lsd","vader"
1,"neutral","tyrv æinen opine airline repeat time already however",0,0,0
2,"neutral","pay 105 debenture bond relate s previous announce october 21 collect irrevocable sell commitment hold subordinate debenture bond",0.1,1,0.296
3,"neutral","group s consolidate total 1. 5 billion euro employ approximate 10,000 person",0,1,0
4,"neutral","london afx fortum said agree sell industrial maintenance service operate fund manage capman disclosed sum",0.2,1,0.361
5,"neutral","asia early japan s nikkei index fell 0. 62 percent hong kong s hang seng index rose 0. 56 percent",0,0,0
6,"positive","third quarter 2010 crease 5. 2 205. 5 operate 34. 9 23. 5",0,0,0
7,"neutral","country sector construction real estate target pohjolan sign talo oy buy capman oyj vendor ruukki group oyj deal size usd 102. 6 m type divest status agree",0.2,1,0.361
8,"neutral","last position nokia siemens network head human source nsn global",0,0,0
9,"neutral","price disclose",0,0,0
10,"positive","cost cutting measure produce around eur70m save past nine months dampen airline s loss finnair said",-0.133,-1,0.103
11,"positive","ramirent lead construction machinery rental annual 134 operate nationwide 83 outlet 612 employee",0,0,0
12,"positive","hearst able consolidate 20 russian market advertise press purchase",0,1,0
13,"neutral","ipad apply join iphone app part monster s range mobile apply job hunt",0.2,0,0.296
14,"positive","h move enhance grow",0,1,0
15,"positive","purpose action ensure s cost effective year near future",0.3,1,0.691
16,"positive","s operate come ebit totalled 0. 0 0. 3 year year",0,0,0
17,"neutral","manage critical politician failure differentiate beleaguer european financial institute skandinavian bank sail crisis without issue",-0.5,-1,-0.866
18,"positive","teleste acquisition mark entry service market long establish significant supply duct",0.2,1,0.202
19,"neutral","consultancy satama interact oyj said november 13 2006 jarmo lonnfors took position ceo",0,0,0
20,"neutral","power generate annual loviisa cover 10 s electricity consumption",0,1,0
21,"neutral","property investor sponda said agree 100 mln f year mln credit facility swedbank 50 mln seven year facility oko bank",0.2,1,0.625
22,"positive","interest come total 15. 9 compare 15. 6 year early",0.2,0,0.459
23,"neutral","lember said matte topical also estonia bill draft social affair ministry scrap old age pension favorable condition",0,0,0.477
24,"neutral","pohjola crease stake 45 2013",0,0,0
25,"neutral","agree ponsse provide forest machine maintenance service stora enso s russian wood procurement operate",0.2,1,0.361
26,"neutral","handset maker disclose financial tail",0,0,0
27,"positive","last year raise turnover approximate 7 litas 2 mln 6. 1 litas 2004",0,0,0
28,"positive","helsinki afx kci konecranes said won order four hot metal ladle crane indian steel produce bhushan steel strip ltd",0.6,1,0.572
29,"neutral","manavigator november 1 2010 deal snapshot swedish peab buy equipment rental firm cramo swedish construction peab ab sto peab b announce acquisition equipment rental cramo entreprenadmaskiner ab group cramo oyj hel cra1v",0,-1,0
30,"positive","carry handset maker spin posit event raise interest high end phone pricier data plan",0.2,1,0.459
31,"positive","new create position establish strengthen amer sport manage strategic planning execute",0.4,1,0.527
32,"neutral","vacon recent announce plan build north american headquarter 5 park chambersburg",0,0,0
33,"positive","turn equity stood 18. 3 compare 15. 4 third quarter 2005",0,0,0
34,"neutral","annual turnover eur32 8 m",0,0,0
35,"neutral","director shareholder alike ask practice allow continue",0.2,0,0.226
36,"neutral","spokeswoman italian fashion house decline com settlement",0,0,0
37,"neutral","amanda capital vestment 22 private equity fund 200 quote company main europe",0,0,0
38,"positive","come life insurance rose 16. 5 14. 0 come non life insurance 22. 6 15. 2",0,0,0
39,"neutral","kesko previous publish stock exchange lease concerning deal 7 february 2007",0,0,0
40,"neutral","tecnomen s system feature new range value add service prepaid post paid bill charge rate voice call data traffic kind content service mobile fix network",0.4,-1,0.7
41,"neutral","area s slight 2m 2006",0,0,0
42,"neutral","technology park built near st petersburg base pulkovo airport",0,0,0
43,"negative","konecranes oyj kcr1v fh fell 5. 5 percent 20. 51 euro biggest fall since june",0,0,0
44,"negative","operate 12 month period crease eur28 2 m turnover crease eur313 42 m compare financial year 2004",0,0,0
45,"positive","earn p share january june 2010 eur0 30 crease 20 year year eur0 25",0.2,0,0.296
46,"neutral","mr jortikka president base metal division outotec oyj execute committee outotec",0,-1,0
47,"neutral","heat retain fireplace maker tulikivi oyj said august 29 2007 local tile stove utility ceramic subsidiary kermansavi oy merge tulikivi mean absorption order streamline late s corporate structure",0,1,0
48,"neutral","construction expect complete summer 2011",0,0,0
49,"positive","follow acquisition relacom strengthen presence serve operator office market mobile fix network construction installation maintenance service",0.4,1,0.318
50,"neutral","comment deal shane lennon svp market duct develop gypsii said",0,0,0
51,"neutral","member hk ruokatalo group scan launch joint venture slaughterhouse team ugglarp sk _ ne southern sweden",0,-1,0
52,"negative","addition production personnel sport division given temporary lay warn",-0.4,-1,-0.103
53,"neutral","two sell national fund r d sitra oras vest oy also sold half shareholding leave 3. 8 pct 3. 2 pct respective",-0.2,0,0.382
54,"positive","price raw material aluminium went end 2005 consider outlook 2006 favourable",0,1,0
55,"positive","retailer stockmann won approval board swedish rival lindex public tender off aim expand company presence russia cee country stockmann said monday",0.4,1,0.844
56,"neutral","poyry plc additional information martin kuzaj president industry group tel 358 10 33 21179 sanna paivaniemi director investor relate poyry plc tel 358 10 33 23002 poyry global consult engineer dedicate balance sustainability",0,1,0
57,"negative","food worker ion sel plan hast collect bargain two day strike begin 7 april 2010",0.1,0,0.077
58,"neutral","video marimekko s sign manage noora niiininoski explain brand natural fit timeless style",0.2,1,0.612
59,"neutral","s board director pose dividend 0. 14 2008 annual general meet",0,0,0
60,"positive","circuit s overall production rate week basis now excess average 40,000 tonne p day volume excess 50,000 tonne p day reach individual day",0.2,0,0.026
61,"neutral","total invest vantaa plant extension amount around 10 euro okmetic s share vestment worth around 2. 7",0.3,1,0.477
62,"positive","turn capital employ rose 4. 8 percentage point 19. 6",0,0,0
63,"neutral","stora enso global paper package wood duct neste oil engage fine market oil inaugurate demonstrate plant varkaus biomass liquid production utilize forestry residue",0.3,1,0.494
64,"negative","base first quarter result exist order backlog new order prospect expect full year tract 25 2008 gross margin stay healthy level operate margin low 2008 due low volume",0.067,-0.333,-0.34
65,"positive","ebit totalled 14. 4 compare loss 0. 3 correspond period",-0.6,-1,-0.318
66,"neutral","viking pay 130 new ship complete january 2008",-0.2,0,-0.103
67,"neutral","fortum also block stake northwestern tgk 1",-0.2,-1,-0.44
68,"neutral","ecb can main target inflation",0,0,0
69,"neutral","together latvia cramo operate 54 rental outlet baltic state",0,-1,0
70,"negative","nordic bank already write sizable loan latvia swedbank nordea dnb seb port combine loss excess 1. 35 billion period 2007 2010 backdrop near economic meltdown latvia",-0.6,-1,-0.318
71,"negative","thank internet consume compare duct previous company competitive",0.4,1,0.494
72,"negative","january november group s totalled 7,801.7 drop 12. 6 period 2008",-0.2,0,-0.273
73,"neutral","nordic walk first use summer train method cross country ski",0,0,0
74,"positive","nasdaq list yahoo c introduce new service enable malaysians take favorite internet content service mobile phone",0.4,1,0.459
75,"neutral","accord olvi already negotiate new agreement",0.2,1,0.494
76,"neutral","pc apply allow user copy file data nokia mobile vice computer well create backup content",0.2,0.333,0.625
77,"negative","operate loss total 0. 3 compare 2. 2 correspond period 2007",-0.6,-1,-0.318
78,"neutral","operate 12 month period crease eur9 6 m crease eur69 0 m compare 2005",0,0,0
79,"neutral","agree japrotek deliver nine storage tank volume range 1,000 cu m 3,000 cu m include agitator",0.2,0,0.026
80,"neutral","addition stake megafon telecominvest current own 100 share web plus st petersburg payphone 51 telecom equipment produce pet servis numb minor asset",0.133,0,0.318
81,"neutral","project expect complete",0,0,0
82,"positive","solute provide affecto oyj said today won frame tract value eur2m implement next phase insurance apply sou african mutual federal insurance limit m f",0.6,0.333,0.727
83,"neutral","alexandria va oct 23 hans otto scheck espoo develop method identify remote radio it communicate system",0,0,0
84,"neutral","also appoint leif rosen head special plate it include quarto plate it degerfors sweden new castle usa it willich germany well pressplate prefab avesta plate service centre nordic degerfors",0,1,0.586
85,"neutral","acquisition part suomen helasto s strategy expand lukkoexpert security chain suomen helasto ceo kimmo uusimaki said",0.2,0,0.572
86,"neutral","sanoma magazine international invite shareholder hold approximate 15 share sell share",0.2,1,0.612
87,"positive","operate improve 27 579. 8 457. 2 2006",0.4,1,0.44
88,"positive","eps quarter came 0. 36 0. 33 year ago ahead forecast 0. 33",0,0,0
89,"neutral","thank develop system enable trace origin palm oil use know exact palm oil produce",0.4,1,0.361
90,"positive","base upon unique fib expertise innovate approach strong market position several area operate",0.3,1,0.758
91,"neutral","healthcare trade 145. 1 155. 2 operate 8. 9 7. 9",0,0,0
92,"neutral","transaction value cad 15 approximate 10",0,0,0.34
93,"neutral","aldata solute global engage supply consume process optimization announce tail dollar dinosaur gram",0.2,1,0.612
94,"negative","operate 0. 1 1. 3",0,0,0
95,"positive","silicon wafer technology okmetic oyj omx helsinki okm1v port thursday 30 october operate eur7 4 m january september 2008 eur6 1 m correspond period 2007",0,0,0
96,"neutral","right serve",0,1,0
97,"positive","operate total 37, 7 slight 37. 2 correspond period 2006",0,0,0
98,"neutral","competition authority approve deal can finalize",0.2,1,0.077
99,"negative","change market situate tough price competition substantial reduce demand bread package manufacture kauhava plant accord",0,0,-0.052
100,"neutral","simultaneous responsibility area extend legal affair cover also merge acquisition",0.2,1,0.296
101,"negative","group ebit first half eur13 6 m u 17. 8 m fall short eur22 5 m post period",0,0,0
102,"negative","also construction expense gone russia",0,0,0
103,"neutral","platform continue develop framework symbian meego",0,0,0
104,"negative","stora enso oyj said second quarter result fall half compare period 2007",0,0,0
105,"neutral","condition deal savcor alfa bought photonium akseli lahtinen c s operate prior deal",0,0,0
106,"neutral","aluminium duct manufacture nordic aluminium plc omx helsinki noa1v port monday 18 august operate eur7 9 m eur55 2 m period january june 2008",0,0,0
