"id","rating","text","afinn","lsd","vader"
1,"neutral","tyrv+æinen    opinion   airline   repeating    time already , however .",0,0,0
2,"neutral"," repayment   105  debenture bonds  related    's previous announcement  october 21 ,   collect irrevocable selling commitments   holders   subordinated debenture bonds .",0,1,0.128
3,"neutral"," group 's consolidated     totaled 1.5 billion euros   employs approximately 10,000 persons .",0,1,0
4,"neutral","london afx - fortum said   agreed  sell  industrial maintenance service operations  funds managed  capman   undisclosed sum .",0.2,1,0.273
5,"neutral"," asia earlier , japan 's nikkei index fell 0.62 percent  hong kong 's hang seng index rose 0.56 percent .",0,0,0
6,"positive","  third quarter  2010 ,   increased  5.2 %   205.5  ,  operating   34.9 %   23.5  .",0.2,0,0.273
7,"neutral","country : ,  sector : construction-real estate target : pohjolan design-talo oy buyer : capman oyj vendor : ruukki group oyj deal size  usd : 102.6 m type : divestment status : agreed",0.2,1,0.273
8,"neutral"," last position  nokia siemens networks  head   human resources nsn global  .",0,1,0
9,"neutral","  price   disclosed .",0,0,0
10,"positive","cost cutting measures ,   produced around eur70m  savings   past nine months ,  dampened  airline 's loss , finnair said .",-0.4,-1,-0.421
11,"positive","ramirent   leading construction machinery rental     annual    134     operating nationwide  83 outlets  612 employees .",0,0,0
12,"positive","hearst will  able  consolidate  20 %   russian market  advertising  press   purchase .",0,1,0
13,"neutral"," ipad application joins  iphone app  part  monster 's range  mobile applications  job hunting .",0,-1,0
14,"positive","( &h )   move  enhance growth .",0.4,1,0.382
15,"positive"," purpose   action   ensure  's cost effectiveness  year    near future .",0.2,1,0.382
16,"positive","  's operating income ( ebit ) totalled  0.0  ,    -0.3  year--year .",0,0,0
17,"neutral"," manager  critical  politicians ' failure  differentiate  beleaguered european financial institutions  skandinavian banks , ``  sailed   crisis without issues '' .",-0.5,-1,-0.866
18,"positive"," teleste ,  acquisition marks  entry  services    market    long   established  significant supplier  products .",0.2,1,0.202
19,"neutral","  consultancy satama interactive oyj said  november 13 , 2006  jarmo lonnfors took   position  ceo .",0,0,0
20,"neutral"," power generated annually  loviisa covers  10 %   's electricity consumption .",0,1,0
21,"neutral"," property investor sponda said   agreed  100 mln  , five-year mln credit facility  swedbank   50 mln  , seven-year facility  oko bank .",0.2,1,0.572
22,"positive"," interest income totaled  15.9  , compared   15.6   year earlier .",0.2,0,0.459
23,"neutral","lember said  matter  topical also  estonia ,   bill   drafted   social affairs ministry   scrap old-age pensions  favorable conditions .",0.2,0,0.494
24,"neutral","pohjola  increase  stake  45 %  2013 .",0.2,0,0.318
25,"neutral","  agreement ponsse will provide forest machine maintenance services  stora enso 's russian wood procurement operations .",0.2,1,0.494
26,"neutral"," handset maker   disclose  financial details .",0,0,0
27,"positive","last year   raised  turnover  approximately 7  litas  2 mln ,  6.1  litas  2004 .",0,0,0
28,"positive","helsinki afx - kci konecranes said   won  order  four hot metal ladle cranes  indian steel producer bhushan steel  strips ltd. .",0.6,1,0.572
