"token","vader","n"
"purple",0,4
"putting",0,4
"quest",0,4
"quince",0,4
"quote",0,4
"racist",-1,4
"raising",0,4
"rated",0,4
"refer",0,4
"refrain",0,4
"refreshing",0,4
"refuses",0,4
"relative",0,4
"relevant",0,4
"relieved",1,4
"remains",0,4
"rendered",0,4
"required",0,4
"respects",1,4
"returned",0,4
"returning",0,4
"rikki",0,4
"road",0,4
"roald",0,4
"romance",1,4
"romantic",1,4
"ron",0,4
"rude",-1,4
"russian",0,4
"safely",1,4
"saint",0,4
"sections",0,4
"seek",0,4
"selfish",-1,4
"sensitive",0,4
"sentences",1,4
"session",0,4
"settle",0,4
"sexism",0,4
"shocked",-1,4
"sided",0,4
"sight",0,4
"sign",0,4
"simplistic",0,4
"sits",0,4
"sitting",0,4
"skills",0,4
"skip",0,4
"skippyjon",0,4
"sleeps",0,4
"snicket",0,4
"source",0,4
"specials",0,4
"spoil",0,4
"spread",0,4
"spring",0,4
"stallion",0,4
"steals",-1,4
"stolen",-1,4
"straightforward",0,4
"strikes",-1,4
"struck",-1,4
"study",0,4
"sucks",-1,4
"sudden",0,4
"suited",0,4
"sun",0,4
"surface",0,4
"surprising",1,4
"susannah",0,4
"table",0,4
"tedious",0,4
"teen",0,4
"terms",0,4
"test",0,4
"themed",0,4
"thrown",0,4
"tips",0,4
"toby",0,4
"tool",0,4
"torn",-1,4
"tour",0,4
"translated",0,4
"travels",0,4
"treasure",1,4
"twelve",0,4
"twitter",0,4
"unable",0,4
"unlike",0,4
"ups",0,4
"ursu",0,4
"vague",-1,4
"victoria",0,4
"viewpoint",0,4
"violent",-1,4
"visits",0,4
"vivid",0,4
"voices",0,4
"walks",0,4
"warm",1,4
"washington",0,4
"watercolor",0,4
"waves",0,4
"wee",0,4
"weirdo",-1,4
"western",0,4
"wicked",-1,4
"windows",0,4
"wolves",0,4
"wooden",0,4
"worried",-1,4
"worrying",-1,4
"worthy",1,4
"wow",1,4
"wright",0,4
"yep",1,4
"0",0,3
"16",0,3
"2.5",0,3
"2012",0,3
"2013",0,3
"24",0,3
"3.75",0,3
"40",0,3
"abilities",1,3
"abrupt",0,3
"absent",0,3
"accent",0,3
"accidentally",-1,3
"acrylic",0,3
"active",1,3
"acts",0,3
"adapt",0,3
"advanced",1,3
"aesop's",0,3
"affair",0,3
"africa",0,3
"afternoon",0,3
"ah",0,3
"ahead",0,3
"air",0,3
"airport",0,3
"alberto",0,3
"alcott",0,3
"alfred",0,3
"alvin",0,3
"amused",1,3
"angelina",0,3
"anne's",0,3
"annual",0,3
"anti",-1,3
"apartment",0,3
"appeals",0,3
"apple",0,3
"apples",0,3
"approach",0,3
"archer",0,3
"aric",0,3
"arrives",0,3
"arthur",0,3
"article",0,3
"artist",0,3
"arts",0,3
"ate",0,3
"august",0,3
"australia",0,3
"authentic",0,3
"autism",0,3
"avoids",-1,3
"awhile",0,3
"balloon",0,3
"band",0,3
"bar",0,3
"basis",0,3
"baudelaire",0,3
"beat",0,3
"beezus",0,3
"behave",0,3
"believed",0,3
"belinda",0,3
"ben",0,3
"bet",0,3
"beth",0,3
"bill",0,3
"bizarre",-1,3
"blankets",0,3
"blithering",0,3
"block",-1,3
"blown",0,3
"blues",0,3
"body",0,3
"bonus",1,3
"bookshelf",0,3
"bookster",0,3
"boot",0,3
"boredom",-1,3
"bother",-1,3
"bothered",-1,3
"bound",0,3
"boy's",0,3
"brat",0,3
"brave",1,3
"bravery",1,3
"breaks",0,3
"brer",0,3
"brett's",0,3
"brink",0,3
"broadway",0,3
"brock",0,3
"brown's",0,3
"bsc",0,3
"btw",0,3
"bugs",0,3
"bus",0,3
"butterfly",0,3
"buying",0,3
"cage",0,3
"cake",0,3
"calista",0,3
"campbell",0,3
"capable",1,3
"captain",0,3
"carly",0,3
"carol",0,3
"carrolyn",0,3
"carrying",0,3
"carter",0,3
"cartoons",0,3
"catch",0,3
"catchy",0,3
"cautions",0,3
"challenge",1,3
"checking",0,3
"chester",0,3
"chick",0,3
"childrens",0,3
"chilling",-1,3
"cinderella",0,3
"circus",0,3
"claims",0,3
"classics",0,3
"clean",1,3
"click",0,3
"climax",0,3
"climb",0,3
"closer",0,3
"clueless",-1,3
"cole's",0,3
"colin",0,3
"college",0,3
"comfort",1,3
"comical",0,3
"committee",0,3
"common",0,3
"compare",0,3
"compassion",1,3
"complain",-1,3
"concise",0,3
"condescending",0,3
"continues",0,3
"contrived",0,3
"control",0,3
"convey",0,3
"convince",1,3
"cook",0,3
"copies",0,3
"corporate",0,3
"counselor",0,3
"covered",0,3
"covers",0,3
"cowboy",0,3
"cows",0,3
"crayon",0,3
"cricket",0,3
"critical",-1,3
"criticism",-1,3
"crowd",0,3
"crowned",0,3
"crying",-1,3
"cuisine",0,3
"cutesy",1,3
"cuts",-1,3
"daddy",0,3
"dahl's",0,3
"dancing",0,3
"daphne",0,3
"darling",1,3
"debut",0,3
"decades",0,3
"decisions",0,3
"dedicated",1,3
"defined",0,3
"deliver",0,3
"demeter",0,3
"derived",0,3
"deserve",0,3
"deserves",0,3
"devil",-1,3
"dialog",0,3
"digital",0,3
"digitally",0,3
"direct",0,3
"directions",0,3
"directly",0,3
"dirt",-1,3
"disappoint",-1,3
"disaster",-1,3
"disbelief",0,3
"discussions",0,3
"disjointed",-1,3
"distracting",-1,3
"diversity",0,3
"doctor",0,3
"doors",0,3
"dose",0,3
"double",0,3
"drawing",0,3
"dressed",0,3
"dystopian",0,3
"ear",0,3
"efforts",0,3
"egyptian",0,3
"eighty",0,3
"elderly",0,3
"element",0,3
"emotion",0,3
"emotional",1,3
"empty",-1,3
"encounter",0,3
"encounters",0,3
"encouraging",1,3
"enemy",-1,3
"energy",1,3
"enters",0,3
"entirety",0,3
"environmental",0,3
"episode",0,3
"equal",0,3
"equally",0,3
"esme",0,3
"evan's",0,3
"evie",0,3
"excepting",0,3
"existed",0,3
"existence",0,3
"experienced",0,3
"experiment",0,3
"explanations",0,3
"explores",0,3
"failed",-1,3
"faith",1,3
"fallen",-1,3
"false",0,3
"fancy",0,3
"fascinating",1,3
"fashion",0,3
"fashioned",0,3
"fault",-1,3
"fave",1,3
"fears",-1,3
"featherless",0,3
"felicity",0,3
"fellow",0,3
"fenway's",0,3
"fierce",0,3
"fights",-1,3
"fill",0,3
"financial",0,3
"fish",0,3
"fishing",0,3
"fitz",0,3
"fleshed",0,3
"floating",0,3
"folktale",0,3
"fond",1,3
"forbidden",-1,3
"formulaic",0,3
"fort",0,3
"frame",0,3
"freely",1,3
"frustrated",-1,3
"frustration",-1,3
"fuck",-1,3
"fyler",0,3
"gain",1,3
"garbage",0,3
"gardener",0,3
"gathering",0,3
"gem",0,3
"generation",0,3
"genre",0,3
"germany",0,3
"gilbert",0,3
"ginger",0,3
"glitter",0,3
"global",0,3
"glossary",0,3
"goal",0,3
"goat",0,3
"god's",0,3
"goldilocks",0,3
"goofy",0,3
"grabbing",0,3
"grandchildren",0,3
"graphics",0,3
"grasp",0,3
"grief",-1,3
"habitat",0,3
"hamster",0,3
"handled",0,3
"hang",0,3
"hank",0,3
"hans",0,3
"harlem",0,3
"hatred",-1,3
"hattie",0,3
"headed",0,3
"health",0,3
"healthy",1,3
"hearing",0,3
"henkes",0,3
"hide",-1,3
"hold",0,3
"holmes",0,3
"hoops",0,3
"horribly",-1,3
"houses",0,3
"hugh",0,3
"huh",0,3
"hungry",0,3
"hunting",0,3
"ideal",1,3
"idiot",-1,3
"ill",-1,3
"illustrator's",0,3
"image",0,3
"imaginary",0,3
"impression",1,3
"inability",-1,3
"incident",0,3
"incredible",0,3
"independent",0,3
"individual",0,3
"info",0,3
"initially",0,3
"innocent",1,3
"inspiring",1,3
"instance",0,3
"intentionally",0,3
"interacting",0,3
"interactive",0,3
"internal",0,3
"internet",0,3
"inventions",0,3
"invisible",0,3
"involvement",0,3
"irritating",-1,3
"italian",0,3
"items",0,3
"jackson's",0,3
"jewish",0,3
"joe",0,3
"joke",1,3
"journal",0,3
"judge",0,3
"junior",0,3
"kee",0,3
"kindle",0,3
"kindness",1,3
"kinds",0,3
"kite",0,3
"laughing",1,3
"laundry",0,3
"leads",0,3
"legend",0,3
"legends",0,3
"lemony",0,3
"lesbian",0,3
"librarian",0,3
"lie",0,3
"lifeguard",0,3
"liking",1,3
"links",0,3
"listed",0,3
"lively",1,3
"loads",0,3
"longing",-1,3
"losing",-1,3
"lower",-1,3
"luggertuck",0,3
"madlenka's",0,3
"maker",0,3
"manage",0,3
"maps",0,3
"marciano's",0,3
"margaret",0,3
"mark",0,3
"married",0,3
"materials",0,3
"max's",0,3
"meaningful",1,3
"meeting",0,3
"mentions",0,3
"mermaid",0,3
"mess",-1,3
"messy",-1,3
"met",0,3
"mimics",0,3
"mischief",-1,3
"mission",0,3
"misty's",0,3
"mix",0,3
"mixed",0,3
"mom's",0,3
"monkeys",0,3
"monroe",0,3
"montgomery",0,3
"month",0,3
"morbid",0,3
"mothers",0,3
"mowgli",0,3
"munchkin",0,3
"mystical",0,3
"myth",0,3
"myths",0,3
"neat",1,3
"needless",0,3
"neil",0,3
"nervous",-1,3
"newberry",0,3
"news",0,3
"noise",0,3
"noises",0,3
"numerous",0,3
"obsessed",-1,3
"ocean",0,3
"offered",0,3
"offering",0,3
"ole",0,3
"online",0,3
"ooze",0,3
"opposite",0,3
"option",0,3
"oral",0,3
"orange",0,3
"outcome",0,3
"outrageous",-1,3
"outs",0,3
"outstanding",1,3
"overbearing",0,3
"overwhelmed",1,3
"pa",0,3
"package",0,3
"painted",0,3
"paintings",0,3
"papers",0,3
"parade",0,3
"parm",0,3
"patience",0,3
"peek",0,3
"peer",0,3
"peet",0,3
"penguin",0,3
"persephone",0,3
"perspectives",0,3
"philosopher",0,3
"plain",0,3
"plants",0,3
"pleasing",1,3
"poignant",0,3
"pomegranate",0,3
"pooh",0,3
"portion",0,3
"portrayal",0,3
"poses",0,3
"posted",0,3
"practice",0,3
"praying",1,3
"pre",0,3
"prefers",0,3
"prepared",1,3
"prevent",1,3
"primarily",0,3
"production",0,3
"products",0,3
"protect",1,3
"proud",1,3
"provoking",-1,3
"public",0,3
"pumpkins",0,3
"purchasing",0,3
"reactions",0,3
"realizes",0,3
"realizing",0,3
"receive",0,3
"receiving",0,3
"recent",0,3
"redemption",0,3
"relatable",0,3
"remain",0,3
"remind",0,3
"repeated",0,3
"repeatedly",0,3
"reserved",0,3
"resolved",1,3
"resources",0,3
"responsibility",0,3
"returns",0,3
"rico",0,3
"rid",0,3
"ride",0,3
"romp",0,3
"routine",0,3
"ruined",-1,3
"rule",0,3
"rumour",0,3
"runs",0,3
"rushing",0,3
"sabrina",0,3
"safe",1,3
"safety",1,3
"santa",0,3
"sara",0,3
"saved",1,3
"scarecrow",-1,3
"scheme",0,3
"scientist",0,3
"scraps",0,3
"searching",0,3
"seat",0,3
"seeds",0,3
"selling",0,3
"sending",0,3
"separate",0,3
"seredy",0,3
"serves",0,3
"service",0,3
"settings",0,3
"seuss",0,3
"shades",0,3
"shame",-1,3
"shaped",0,3
"shine",0,3
"shop",0,3
"significant",1,3
"silent",0,3
"silliness",-1,3
"similarities",0,3
"sing",0,3
"skill",0,3
"sleeping",0,3
"sleepy",0,3
"sleuth",0,3
"slight",0,3
"smarter",1,3
"smell",0,3
"smiling",1,3
"snot",0,3
"solely",0,3
"solid",1,3
"solution",1,3
"someone's",0,3
"songs",0,3
"sophie's",0,3
"sorts",0,3
"soul",0,3
"spare",0,3
"spending",0,3
"spiritual",0,3
"spoke",0,3
"spreads",0,3
"spying",0,3
"st",0,3
"stage",0,3
"staircase",0,3
"standing",0,3
"stands",0,3
"stated",0,3
"station",0,3
"steal",-1,3
"stealing",-1,3
"stine",0,3
"stinky",-1,3
"stood",0,3
"stopping",-1,3
"stops",-1,3
"strega",0,3
"stress",-1,3
"stretch",0,3
"strongly",1,3
"substantial",1,3
"successful",1,3
"sucked",-1,3
"sucking",0,3
"suitable",0,3
"suits",0,3
"sully",0,3
"superpowers",0,3
"supervision",0,3
"supplies",0,3
"supporting",1,3
"surprise",1,3
"survive",0,3
"suspense",0,3
"suspenseful",0,3
"swan",0,3
"switched",0,3
"sympathetic",1,3
"tad",0,3
"talented",1,3
"tap",0,3
"tar",0,3
"tastes",0,3
"taxi",0,3
"technology",0,3
"teeth",0,3
"tend",0,3
"texts",0,3
"theories",0,3
"therapy",0,3
"thief",-1,3
"thieves",-1,3
"tip",0,3
"tired",-1,3
"tongue",0,3
"tools",0,3
"topics",0,3
"tot",0,3
"townsend",0,3
"track",0,3
"training",0,3
"tramp",0,3
"transformed",0,3
"transition",0,3
"trash",0,3
"traveling",0,3
"trials",0,3
"trilogy",0,3
"triplet",0,3
"trips",0,3
"truck",0,3
"tv",0,3
"twilight",0,3
"twins",0,3
"twists",0,3
"types",0,3
"typically",0,3
"unaware",-1,3
"unclear",-1,3
"unfamiliar",0,3
"united",1,3
"universe",0,3
"unknown",0,3
"upper",0,3
"upside",0,3
"vain",-1,3
"van",0,3
"vapid",0,3
"varied",0,3
"vehicle",0,3
"verses",0,3
"vibrant",1,3
"victorian",0,3
"visited",0,3
"visiting",0,3
"visual",0,3
"volume",0,3
"wagner",0,3
"waldo",0,3
"warmth",1,3
"washed",0,3
"watson",0,3
"whimsy",0,3
"wide",0,3
"wife",0,3
"williams",0,3
"wilson",0,3
"wished",0,3
"wishes",1,3
"wishing",1,3
"wonderland",0,3
"world's",0,3
"wrinkle",0,3
"writers",0,3
"yoga",0,3
"yorkshire",0,3
"youngsters",0,3
"youth",0,3
"1.5",0,2
"17",0,2
"18",0,2
"1936",0,2
"1938",0,2
"1940",0,2
"1970s",0,2
"1993",0,2
"1995",0,2
"2015",0,2
"250",0,2
"27",0,2
"3.5",0,2
"365",0,2
"4.00",0,2
"50s",0,2
"60",0,2
"60s",0,2
"80s",0,2
"90",0,2
"abandon",-1,2
"abducted",-1,2
"abduction",-1,2
"absolute",0,2
"absorbed",0,2
"absurd",0,2
"accompany",0,2
"accomplishment",0,2
"accurately",0,2
"achieve",0,2
"acting",0,2
"actively",1,2
"adamant",0,2
"adding",0,2
"additional",0,2
"addressed",0,2
"ade's",0,2
"adolescence",0,2
"adopted",0,2
"advance",0,2
"affect",0,2
"affected",-1,2
"affecting",0,2
"afford",0,2
"afloat",0,2
"agatha",0,2
"agenda",0,2
"aid",0,2
"aim",0,2
"alchemist",0,2
"alden",0,2
"aliens",0,2
"allen",0,2
"alligator",0,2
"allsburg",0,2
"alright",1,2
"alternative",0,2
"amy",0,2
"anansi",0,2
"anastasia",0,2
"anastasia's",0,2
"andersen",0,2
"andy",0,2
"anecdotes",0,2
"angleberger",0,2
"angry",-1,2
"angst",0,2
"anna",0,2
"answered",0,2
"anticipating",0,2
"anticlimactic",0,2
"anxiety",-1,2
"apologize",1,2
"apologizes",1,2
"appearances",0,2
"appreciating",1,2
"appreciation",1,2
"approve",0,2
"april",0,2
"arabian",0,2
"arcade",0,2
"arctic",0,2
"argument",-1,2
"arm",0,2
"arthur's",0,2
"artists",0,2
"asian",0,2
"assumes",0,2
"assure",1,2
"attached",0,2
"aubrey",0,2
"auction",0,2
"aunt's",0,2
"aunts",0,2
"author's",0,2
"avoiding",-1,2
"awaken",0,2
"awareness",0,2
"awe",0,2
"baa",0,2
"baba",0,2
"babysitting",0,2
"bacon",0,2
"badly",-1,2
"bag",0,2
"balliett",0,2
"bananas",0,2
"banned",-1,2
"barbecue",0,2
"barker",0,2
"barrie",0,2
"basah",0,2
"basement",0,2
"bath",0,2
"bathroom",0,2
"beanstalk",0,2
"befriends",0,2
"behold",0,2
"belief",0,2
"belinda's",0,2
"bell",0,2
"bemelmans",0,2
"benefit",1,2
"berries",0,2
"bhaer",0,2
"bilingual",0,2
"billy",0,2
"billy's",0,2
"biographical",0,2
"bites",0,2
"bitter",-1,2
"blatant",0,2
"blech",0,2
"blog",0,2
"blowing",0,2
"blyton",0,2
"boats",0,2
"bob",0,2
"bond",0,2
"bones",0,2
"boom",0,2
"boots",0,2
"born",0,2
"borrowed",0,2
"bossy",0,2
"bothers",-1,2
"boundaries",0,2
"bourbeau",0,2
"bowl",0,2
"boxes",0,2
"boxtrolls",0,2
"brains",0,2
"brand",0,2
"bras",0,2
"breakfast",0,2
"breaking",0,2
"brett",0,2
"brighten",1,2
"bringing",0,2
"british",0,2
"broke",-1,2
"brooks",0,2
"broomstick",0,2
"bubbles",0,2
"bullied",-1,2
"bulls",0,2
"bummed",0,2
"bunting",0,2
"buried",0,2
"businesses",0,2
"butler",0,2
"butt",0,2
"cakes",0,2
"calder",0,2
"calm",1,2
"campers",0,2
"cancer",-1,2
"candy",0,2
"captivate",0,2
"cardboard",0,2
"careful",1,2
"caricatures",0,2
"carle's",0,2
"carrey",0,2
"carries",0,2
"cars",0,2
"carson",0,2
"cart",0,2
"catalog",0,2
"category",0,2
"caused",0,2
"celebration",0,2
"celestine",0,2
"centered",0,2
"century",0,2
"cereal",0,2
"chain",0,2
"challenged",-1,2
"challenges",1,2
"chaotic",-1,2
"charachters",0,2
"charissa",0,2
"charlotte's",0,2
"chase",0,2
"chattering",0,2
"cheesy",0,2
"chef",0,2
"chicago",0,2
"chicka",0,2
"chickens",0,2
"chicks",0,2
"childish",-1,2
"chiller",0,2
"chiller's",0,2
"chooses",0,2
"chronic",0,2
"chuck",0,2
"church",0,2
"circle",0,2
"circles",0,2
"circling",0,2
"circumstance",0,2
"claim",0,2
"claus",0,2
"cleaning",0,2
"cleanliness",0,2
"cliff",0,2
"closely",0,2
"clouds",0,2
"clubhouse",0,2
"clumsy",0,2
"clunky",0,2
"coat",0,2
"coats",0,2
"coax",0,2
"cocoa",0,2
"code",0,2
"coincidence",0,2
"coincidences",0,2
"collapses",-1,2
"colour",0,2
"colum",0,2
"combined",0,2
"combines",0,2
"combo",0,2
"comedy",1,2
"comment",0,2
"companion",0,2
"companions",0,2
"compares",0,2
"comparisons",0,2
"compass",0,2
"compensated",0,2
"competitors",0,2
"complained",-1,2
"complaints",-1,2
"components",0,2
"compromise",0,2
"concepts",0,2
"concern",0,2
"confidence",1,2
"confidently",1,2
"conflict",-1,2
"connecting",0,2
"connotes",0,2
"consequence",0,2
"conservation",0,2
"consistent",0,2
"consistently",0,2
"constructed",0,2
"construction",0,2
"contained",0,2
"contemporary",0,2
"continued",0,2
"continuity",0,2
"controlled",0,2
"convenience",0,2
"converted",0,2
"conveys",0,2
"convinces",1,2
"convoluted",0,2
"coping",0,2
"core",0,2
"corner",0,2
"correct",0,2
"corruption",0,2
"cottage",0,2
"could've",0,2
"counter",0,2
"counteract",0,2
"coupled",0,2
"coursers",0,2
"cousin's",0,2
"crack",0,2
"cracker",0,2
"craft",0,2
"crap",-1,2
"crashing",0,2
"cream",0,2
"creates",1,2
"creators",0,2
"credit",1,2
"creeped",0,2
"crew",0,2
"crewe",0,2
"crime",-1,2
"criminal",-1,2
"crises",0,2
"crisp",0,2
"critique",0,2
"croak",0,2
"crossed",0,2
"crow",0,2
"crown",0,2
"crush",-1,2
"cuddly",0,2
"cultural",0,2
"curse",-1,2
"cursed",0,2
"customs",0,2
"cutest",1,2
"cutter",0,2
"cyb",0,2
"dad's",0,2
"dakota",0,2
"dalmatian",0,2
"dalmatians",0,2
"dalton",0,2
"damage",-1,2
"dana's",0,2
"dangers",-1,2
"daniels",0,2
"dash",0,2
"dating",0,2
"daughter's",0,2
"daughters",0,2
"davies",0,2
"davy",0,2
"dealt",0,2
"dearlys",0,2
"debate",0,2
"december",0,2
"deeply",0,2
"defanged",0,2
"degree",0,2
"delicious",1,2
"delights",1,2
"delivered",0,2
"delivers",0,2
"delve",0,2
"depending",0,2
"deported",0,2
"depressed",-1,2
"deputy",0,2
"describing",0,2
"design",0,2
"desire",1,2
"desired",1,2
"desperate",-1,2
"desperately",-1,2
"destruction",-1,2
"determination",1,2
"deus",0,2
"developing",0,2
"device",0,2
"diabetes",0,2
"diane",0,2
"diaper",0,2
"diaries",0,2
"dickens",0,2
"dies",0,2
"difficulties",-1,2
"digging",0,2
"dimensional",0,2
"dinosaur",0,2
"director",0,2
"dirty",-1,2
"disagree",-1,2
"disappointment",-1,2
"disclosure",0,2
"disconnect",0,2
"discovered",0,2
"discrepancies",0,2
"discussing",0,2
"distant",0,2
"dive",0,2
"divorced",0,2
"dollars",0,2
"domestic",0,2
"don",0,2
"donald",0,2
"doom",-1,2
"dormant",0,2
"doubt",-1,2
"dowdel",0,2
"dozen",0,2
"dragging",0,2
"dramatic",0,2
"draws",0,2
"dread",-1,2
"dreadful",-1,2
"dressing",0,2
"drink",0,2
"drinking",0,2
"driven",0,2
"drover",0,2
"dulled",-1,2
"dumplings",-1,2
"dust",0,2
"dwarf",0,2
"dying",0,2
"dynamic",1,2
"e.b",0,2
"eager",1,2
"earns",0,2
"earth's",0,2
"east",0,2
"eaten",0,2
"eater",0,2
"economic",0,2
"edges",0,2
"edited",0,2
"education",0,2
"effectively",1,2
"effort",0,2
"ego",0,2
"eh",0,2
"eldest",0,2
"electronic",0,2
"ella",0,2
"email",0,2
"embarrassed",-1,2
"emerges",0,2
"emily",0,2
"emitting",0,2
"emotionally",0,2
"emphasis",0,2
"enamored",0,2
"enchanted",1,2
"encouraged",1,2
"encourages",1,2
"endlessly",0,2
"enjoyment",1,2
"enormously",0,2
"enter",0,2
"entered",0,2
"entertain",1,2
"entertainment",1,2
"entitled",1,2
"environmentalists",0,2
"error",-1,2
"errors",-1,2
"esque",0,2
"essay",0,2
"essentially",0,2
"everyone's",0,2
"evocative",0,2
"exact",0,2
"examiner.com",0,2
"examples",0,2
"exasperating",0,2
"executed",0,2
"exercise",0,2
"explaining",0,2
"explored",0,2
"exposition",0,2
"express",0,2
"expressions",0,2
"extend",1,2
"extraneous",0,2
"extraordinary",0,2
"eyed",0,2
"f__k",0,2
"fabulous",1,2
"facial",0,2
"facing",0,2
"factor",0,2
"failing",-1,2
"faithful",1,2
"fake",-1,2
"falling",-1,2
"fame",1,2
"familiarity",0,2
"fantastical",1,2
"fare",0,2
"farmers",0,2
"fat",0,2
"favor",1,2
"favors",1,2
"feasts",0,2
"feather",0,2
"fend",0,2
"fi",0,2
"fields",0,2
"figuring",0,2
"filler",0,2
"financially",0,2
"finishing",0,2
"flavor",0,2
"flowers",0,2
"foals",0,2
"focuses",0,2
"folks",0,2
"forbid",-1,2
"forces",0,2
"forcing",0,2
"forecast",0,2
"forgettable",0,2
"forgiveness",1,2
"forrest",0,2
"fortune",0,2
"foundation",0,2
"fourteen",0,2
"france",0,2
"francisco",0,2
"frankly",0,2
"freaking",-1,2
"freaky",-1,2
"freckleface",0,2
"freezes",-1,2
"frequently",0,2
"friday",0,2
"friendships",1,2
"frightening",-1,2
"ft",0,2
"fucked",-1,2
"gabe",0,2
"gables",0,2
"gaiman",0,2
"games",0,2
"gantos's",0,2
"gate",0,2
"gems",0,2
"generations",0,2
"genuine",0,2
"geography",0,2
"ghostly",0,2
"ghosts",0,2
"gigantic",0,2
"gilbert's",0,2
"giraffe's",0,2
"girlfriend",0,2
"globe",0,2
"glow",0,2
"glower",0,2
"glue",0,2
"gods",0,2
"goldberg",0,2
"goldfish",0,2
"gonna",0,2
"goom'pa",0,2
"goosebumps",0,2
"gorf",0,2
"gorgeously",1,2
"gossie",0,2
"government",0,2
"grammar",0,2
"grammy",0,2
"granddaughter",0,2
"grandparents",0,2
"grandson",0,2
"grateful",1,2
"greatly",0,2
"greek",0,2
"grieving",-1,2
"grocery",0,2
"gruesome",0,2
"grumpy",0,2
"guarantees",0,2
"guardian",0,2
"guardians",0,2
"guatemala",0,2
"guest",0,2
"guitarist",0,2
"gump",0,2
"gypsies",0,2
"hair",0,2
"haired",0,2
"hall",0,2
"handkerchiefs",0,2
"hanging",0,2
"hank's",0,2
"harbor",0,2
"hardback",0,2
"hardcover",0,2
"harder",0,2
"harm",-1,2
"harmless",1,2
"hatch",0,2
"haunting",-1,2
"hazards",0,2
"hazel",0,2
"headteacher",0,2
"heartbreak",-1,2
"heartbreaking",-1,2
"heartwarming",1,2
"heck",0,2
"heebie",0,2
"heels",0,2
"hehe",0,2
"heist",0,2
"heroine",1,2
"hesitant",-1,2
"hesitate",-1,2
"hideous",0,2
"hilariously",0,2
"hill",0,2
"hinted",0,2
"hobbes",0,2
"holds",0,2
"holly",0,2
"honesty",1,2
"hopelessly",-1,2
"horns",0,2
"horrorland",0,2
"horsie",0,2
"horton",0,2
"howled",0,2
"hue",0,2
"hues",0,2
"hug",1,2
"hugo",0,2
"humanity",0,2
"humble",0,2
"hundreds",0,2
"hung",0,2
"hunt",0,2
"hurr",0,2
"hurricane",0,2
"hush",0,2
"hyperactive",0,2
"identify",0,2
"identifying",0,2
"identity",0,2
"idiotic",-1,2
"idols",0,2
"ignore",-1,2
"ignoring",-1,2
"illness",-1,2
"illustrate",0,2
"illustrates",0,2
"im",0,2
"imagined",0,2
"imagines",0,2
"imagining",0,2
"immature",0,2
"imminent",0,2
"impacted",0,2
"impatient",-1,2
"impending",0,2
"implications",0,2
"impressionable",1,2
"improbable",0,2
"improve",1,2
"inane",0,2
"inches",0,2
"incoherent",0,2
"inconsistent",0,2
"incorporate",0,2
"increasingly",0,2
"india",0,2
"indians",0,2
"indoor",0,2
"inducing",0,2
"infatuation",1,2
"influence",0,2
"influenced",0,2
"injury",-1,2
"innocence",1,2
"insane",-1,2
"insightful",0,2
"inspire",1,2
"inspires",1,2
"instantly",0,2
"institute",0,2
"intent",0,2
"intention",0,2
"intentional",0,2
"interaction",0,2
"interactions",0,2
"interestingly",1,2
"international",0,2
"interrupted",-1,2
"interspersed",0,2
"interwoven",0,2
"intricate",1,2
"intrigue",0,2
"introduce",0,2
"invented",0,2
"inventive",0,2
"inviting",1,2
"involve",0,2
"involving",0,2
"ironically",0,2
"ish",0,2
"jacket",0,2
"jacqueline",0,2
"jahns",0,2
"james",0,2
"jan",0,2
"jarring",0,2
"jeebies",0,2
"jeepers",0,2
"jeremy",0,2
"jess",0,2
"jessi",0,2
"jim",0,2
"joining",0,2
"jokes",1,2
"jonas",0,2
"jones",0,2
"judging",0,2
"juicy",0,2
"julian",0,2
"jumped",0,2
"jumps",0,2
"kaya's",0,2
"kevin",0,2
"kg's",0,2
"kick",0,2
"kicks",0,2
"kiddos",0,2
"kill",-1,2
"killed",-1,2
"killing",-1,2
"knots",0,2
"labeled",0,2
"labeling",0,2
"ladies",0,2
"landmarks",0,2
"lang's",0,2
"latin",0,2
"lauderdale",0,2
"laughs",1,2
"laughter",1,2
"lawrence",0,2
"laziness",0,2
"learners",0,2
"led",0,2
"letting",0,2
"lewis",0,2
"li",0,2
"libraries",0,2
"library's",0,2
"lied",-1,2
"lifetime",0,2
"lightning",0,2
"likable",0,2
"likeable",1,2
"lila",0,2
"linger",0,2
"listens",0,2
"literal",0,2
"liverpool",0,2
"liz",0,2
"llewelyn",0,2
"lo",0,2
"lobel",0,2
"located",0,2
"location",0,2
"locations",0,2
"lock",0,2
"logic",0,2
"london",0,2
"louisa",0,2
"louise",0,2
"lovable",1,2
"lovers",1,2
"lucy's",0,2
"ludwig's",0,2
"lump",0,2
"lunacy",0,2
"lunchtime",0,2
"ma",0,2
"mabel",0,2
"machina",0,2
"maggie",0,2
"mail",0,2
"majority",0,2
"mama",0,2
"mandie",0,2
"manner",0,2
"march",0,2
"marcia",0,2
"marie",0,2
"marilla",0,2
"marketed",0,2
"marketing",0,2
"marriage",0,2
"marry",0,2
"masked",0,2
"material",0,2
"matters",1,2
"maurice",0,2
"mckee",0,2
"mechanics",0,2
"medalist",0,2
"mentors",0,2
"mere",0,2
"merge",0,2
"metaphor",0,2
"metaphorical",0,2
"methods",0,2
"metropolitan",0,2
"michael",0,2
"mild",0,2
"milk",0,2
"millions",0,2
